"carat","cut","color","clarity","depth","table","price","x","y","z"
1.24,"Ideal","F","VS2",62,57,9478,6.83,6.89,4.25
0.51,"Premium","D","SI1",62.2,58,1619,5.13,5.06,3.17
0.72,"Premium","F","VS2",61.5,58,2646,5.73,5.69,3.51
0.41,"Very Good","D","SI1",63,57,717,4.64,4.7,2.94
1.02,"Ideal","G","VS1",61.3,56,7192,6.49,6.53,3.99
0.46,"Good","F","VS1",64.4,60,1113,4.88,4.9,3.15
0.41,"Ideal","E","SI1",62.6,57,755,4.72,4.73,2.96
1.06,"Premium","F","VVS2",61.8,58,9082,6.54,6.5,4.03
0.35,"Ideal","G","SI1",61.8,55,503,4.54,4.56,2.81
0.34,"Premium","I","SI1",60,58,589,4.55,4.51,2.72
0.32,"Premium","E","SI1",62.3,58,561,4.37,4.4,2.73
0.38,"Ideal","F","VS1",61.4,57,929,4.65,4.67,2.86
1.02,"Good","H","SI2",63.7,58,3884,6.28,6.24,3.99
1.26,"Ideal","H","SI1",61,56,6837,7.04,7,4.28
0.7,"Very Good","J","VS1",60.9,58,1904,5.66,5.73,3.47
1.01,"Very Good","G","VS1",62.7,56,6326,6.36,6.46,4.02
0.3,"Ideal","I","VS1",62.3,55,457,4.3,4.34,2.69
0.38,"Ideal","G","VS2",61.9,54.1,757,4.66,4.69,2.89
1.59,"Ideal","F","VS1",62.9,57,17366,7.38,7.48,4.62
0.32,"Ideal","E","VS1",62.3,54,825,4.37,4.4,2.73
0.33,"Ideal","G","VS1",62.1,55,666,4.43,4.46,2.76
0.53,"Ideal","F","VS1",62.4,57,1832,5.18,5.21,3.24
0.47,"Ideal","J","SI1",61.9,55,740,5,5.05,3.11
0.91,"Premium","I","SI1",58.4,55,2700,6.34,6.32,3.7
0.23,"Good","D","VVS1",64.8,58,478,3.83,3.85,2.49
2.06,"Very Good","F","I1",58.7,61,9789,8.31,8.33,4.88
1,"Ideal","D","SI1",59.9,56,5929,6.51,6.54,3.91
0.53,"Good","D","SI2",54.3,65,1352,5.46,5.51,2.98
1.37,"Premium","H","VS1",60.9,59,8577,7.24,7.17,4.39
0.6,"Ideal","F","SI2",61.7,56,1562,5.41,5.38,3.33
0.33,"Ideal","E","VVS1",60.9,56,1052,4.48,4.46,2.72
1.57,"Good","G","VS2",57.8,60,12547,7.66,7.6,4.41
1.05,"Very Good","D","VS2",59.7,58,7794,6.56,6.63,3.94
0.32,"Ideal","E","VS1",59.9,55,758,4.46,4.49,2.68
0.45,"Good","E","SI1",63.9,57,1063,4.86,4.81,3.09
0.72,"Very Good","J","VS2",62.2,58,2028,5.68,5.73,3.55
0.32,"Very Good","G","VS1",62.8,58,645,4.34,4.39,2.74
1.61,"Ideal","G","SI1",61.2,55,11192,7.57,7.62,4.65
0.35,"Fair","F","VVS1",54.6,59,1011,4.85,4.79,2.63
0.78,"Very Good","G","VS2",61.3,60,3012,5.89,5.96,3.63
0.3,"Ideal","F","VVS1",61.6,55,814,4.33,4.37,2.68
0.9,"Very Good","H","VS2",63,57,4381,6.09,6.13,3.85
0.7,"Fair","F","SI2",58.2,66,1920,5.77,5.74,3.35
1.03,"Premium","F","SI2",62.4,59,4586,6.45,6.38,4
1.23,"Premium","F","VS1",61.3,60,9319,6.9,6.94,4.24
0.36,"Ideal","D","SI2",62.3,57,537,4.52,4.57,2.83
0.7,"Ideal","I","VS2",62.5,54,2390,5.68,5.71,3.56
0.5,"Good","E","SI1",63.7,59,1090,5.07,5.01,3.21
1,"Ideal","E","SI1",61.7,57,5555,6.39,6.42,3.95
0.74,"Ideal","G","SI1",62.7,56,2309,5.78,5.74,3.61
1,"Very Good","F","VS2",63.2,59,6296,6.35,6.3,4
0.31,"Very Good","J","SI1",63.5,55,465,4.33,4.3,2.74
0.33,"Ideal","H","SI1",61,55,511,4.45,4.49,2.73
1.95,"Premium","H","I1",60.3,59,5045,8.1,8.05,4.87
1.01,"Very Good","E","VS2",62,55,6399,6.42,6.46,3.99
2.03,"Very Good","I","VS2",61.4,59,15826,8.06,8.12,4.97
0.96,"Ideal","F","I1",60.7,55,2826,6.41,6.37,3.88
0.91,"Ideal","H","SI2",60.6,57,3854,6.3,6.26,3.81
0.4,"Premium","G","SI1",61.4,60,900,4.71,4.67,2.88
0.25,"Ideal","E","VVS1",62.3,53,783,4.08,4.11,2.55
1.01,"Good","E","VS2",56.7,61,6606,6.71,6.66,3.79
1.6,"Premium","D","SI2",61.9,58,10064,7.54,7.49,4.65
0.36,"Ideal","D","SI1",61.5,56,851,4.64,4.56,2.83
1.23,"Premium","F","I1",60.8,59,3375,6.96,6.91,4.22
0.31,"Ideal","F","IF",61.2,56,901,4.38,4.41,2.69
0.51,"Very Good","E","VS2",64.1,57,1549,5.02,5.06,3.23
0.59,"Premium","D","SI1",62.3,54,1912,5.41,5.38,3.36
0.34,"Ideal","D","I1",62.5,57,530,4.49,4.47,2.8
0.56,"Very Good","F","SI1",60,57,1679,5.41,5.38,3.24
0.8,"Very Good","E","VVS2",62.8,57,4893,5.93,5.95,3.73
1.03,"Ideal","G","VS1",63,56,6659,6.46,6.43,4.06
0.53,"Ideal","E","VVS2",60.5,57,2456,5.24,5.28,3.18
0.9,"Premium","F","SI2",60.1,59,3704,6.31,6.24,3.77
0.25,"Very Good","D","VVS2",59.5,56,696,4.14,4.19,2.48
0.9,"Very Good","F","SI1",63.4,56,3898,6.06,6.12,3.86
1.2,"Very Good","G","VVS1",63.3,59,8928,6.72,6.64,4.23
0.72,"Premium","E","SI1",62.1,58,2265,5.69,5.72,3.54
0.34,"Ideal","D","VVS1",61.5,56,1211,4.5,4.47,2.76
0.3,"Very Good","D","VVS2",63,56,754,4.29,4.31,2.71
0.7,"Ideal","I","SI1",62.5,55,2110,5.7,5.73,3.57
0.52,"Ideal","E","VS2",61.8,55,1815,5.19,5.17,3.2
0.51,"Ideal","H","IF",59.6,59,2063,5.2,5.24,3.11
0.41,"Ideal","F","VS1",61.3,57,1076,4.79,4.77,2.93
0.53,"Premium","J","VS2",62.7,56,1093,5.18,5.15,3.24
0.7,"Fair","G","I1",64.3,62,956,5.59,5.49,3.57
0.56,"Very Good","F","VS2",62,56,1614,5.2,5.22,3.23
1.21,"Ideal","E","VS1",61.7,56,12111,6.82,6.85,4.22
0.44,"Ideal","E","VS2",62.4,57,1073,4.9,4.88,3.05
0.51,"Fair","F","VVS2",60.7,66,4368,5.21,5.11,3.13
0.73,"Premium","D","SI1",60.5,58,2498,5.85,5.82,3.53
0.53,"Fair","E","VS1",62.3,67,1778,5.22,5.11,3.22
0.4,"Premium","G","VVS2",61.3,59,980,4.78,4.74,2.92
1.1,"Very Good","J","SI2",61.9,55,4217,6.59,6.63,4.09
0.56,"Ideal","I","SI1",62.1,54,1094,5.3,5.32,3.3
0.31,"Ideal","F","IF",62.1,54,914,4.36,4.4,2.72
1,"Ideal","E","VS2",61.5,55,6989,6.47,6.44,3.97
0.23,"Ideal","G","SI1",62,54,364,3.95,3.99,2.46
2.01,"Very Good","G","SI1",63.1,59,18741,8.03,7.98,5.05
1.11,"Very Good","G","SI2",58.5,61,4816,6.74,6.8,3.96
1.51,"Premium","G","VS1",62.4,60,12831,7.3,7.34,4.57
1,"Premium","G","SI2",59.4,62,4172,6.5,6.47,3.85
0.51,"Ideal","D","SI1",61.6,56,1569,5.1,5.12,3.15
0.53,"Ideal","D","VS2",60.9,57,1877,5.24,5.17,3.17
0.3,"Very Good","D","VS2",62.9,56,710,4.24,4.28,2.68
1.51,"Ideal","I","SI1",62.4,59,8752,7.27,7.34,4.56
0.71,"Ideal","I","VS1",61.5,60,2432,5.7,5.74,3.52
0.34,"Good","I","VVS2",63.1,56,596,4.43,4.47,2.81
0.7,"Ideal","G","VS2",61.6,57,3253,5.7,5.73,3.53
0.51,"Premium","J","SI1",61.7,56,956,5.17,5.14,3.18
1.21,"Very Good","G","SI2",58.9,61,4887,6.91,6.98,4.09
0.5,"Fair","D","SI1",65.1,58,1323,5,4.96,3.24
2.01,"Premium","J","VS1",60.2,61,12963,8.23,8.16,4.93
0.31,"Ideal","E","IF",61.8,54,1214,4.36,4.38,2.7
0.62,"Ideal","F","SI2",61.3,55,1441,5.55,5.47,3.38
1,"Very Good","H","SI2",60.8,60,4496,6.44,6.49,3.93
0.41,"Premium","D","VVS1",62.3,53,1582,4.78,4.75,2.97
2.1,"Very Good","J","VS2",61.5,60.7,13340,8.16,8.21,5.03
0.42,"Ideal","E","VS2",62,55,1024,4.82,4.8,2.98
0.31,"Very Good","E","SI1",62.8,57,544,4.32,4.34,2.72
0.51,"Very Good","E","SI1",62.9,57,1304,5.06,5.11,3.2
0.31,"Ideal","E","VS2",62.4,54,680,4.31,4.35,2.7
0.41,"Very Good","G","VVS2",62.9,56,1007,4.7,4.74,2.97
1.56,"Premium","F","SI2",63,58,6971,7.35,7.28,4.66
0.92,"Fair","H","SI2",66.1,57,2283,6.22,6,4.05
0.31,"Ideal","D","VS2",61.8,57,942,4.38,4.36,2.7
0.4,"Very Good","E","VS2",62.2,56,912,4.72,4.74,2.94
1.1,"Good","E","SI2",63.3,56,4065,6.53,6.58,4.15
1.12,"Premium","E","I1",61,59,4014,6.74,6.7,4.1
1.01,"Very Good","F","VS1",62.9,58,7455,6.29,6.31,3.96
0.53,"Ideal","E","VVS2",62.4,56,2288,5.15,5.17,3.22
0.46,"Ideal","D","VS2",62.7,57,1326,4.89,4.93,3.08
0.72,"Ideal","G","SI1",62,56,2318,5.75,5.71,3.55
0.51,"Ideal","F","VS2",61.3,56,1562,5.17,5.14,3.16
1,"Good","E","SI2",57.7,65,3696,6.55,6.59,3.79
0.31,"Premium","D","SI1",60.9,60,732,4.39,4.38,2.67
0.72,"Very Good","I","SI1",63.2,57,2345,5.71,5.75,3.62
1.04,"Very Good","D","SI2",63.1,58,3780,6.39,6.33,4.01
0.31,"Ideal","I","VVS1",61.4,54,732,4.41,4.38,2.7
0.55,"Ideal","H","SI1",62.1,56,1319,5.2,5.26,3.25
1.51,"Ideal","G","VS1",60.6,57,14507,7.48,7.38,4.5
0.75,"Ideal","J","VS2",62.3,57,2025,5.84,5.81,3.63
0.43,"Premium","F","SI1",61.7,58,739,4.82,4.84,2.98
0.35,"Good","E","SI2",64,55,454,4.45,4.49,2.86
0.6,"Very Good","I","VVS2",63.7,57.4,1565,5.36,5.41,3.42
0.32,"Very Good","G","VS1",61.9,56,660,4.41,4.45,2.74
0.85,"Ideal","D","VVS1",62,56,7230,6.05,6.11,3.77
1.51,"Ideal","H","VS2",62.2,57,11435,7.29,7.33,4.55
1.03,"Premium","H","SI2",62,60,3749,6.47,6.41,4
0.84,"Very Good","E","SI1",63.4,55,2813,6,5.95,3.79
1.31,"Premium","J","SI1",59.4,60,5546,7.12,7.06,4.21
1,"Very Good","F","SI1",63.8,56,5030,6.25,6.29,4
0.7,"Fair","G","SI2",58.6,56,2208,5.8,5.74,3.38
2,"Premium","I","VS1",60.8,59,18795,8.13,8.02,4.91
1,"Good","E","VVS1",63.4,59,8359,6.27,6.24,4
0.74,"Ideal","D","VS2",61.9,56,3087,5.84,5.79,3.6
0.3,"Premium","D","SI1",62.5,58,709,4.31,4.27,2.68
1.51,"Ideal","I","VS2",62.9,53,9471,7.37,7.33,4.62
1.03,"Very Good","G","VS1",60.7,58,6628,6.5,6.55,3.96
2,"Good","H","SI1",58,58,17447,8.21,8.26,4.78
1.01,"Very Good","I","SI1",62,58,3832,6.43,6.47,4
0.63,"Fair","H","SI2",64.7,61,1235,5.33,5.27,3.43
0.74,"Ideal","G","SI2",61.7,56,2690,5.8,5.87,3.6
0.3,"Ideal","G","IF",62.4,54,863,4.31,4.34,2.7
1.5,"Good","H","SI2",64.2,61,7291,7.15,7.1,4.57
1,"Fair","F","I1",68,57,2280,6.14,6.05,4.15
0.35,"Good","F","SI1",63.6,54,583,4.51,4.52,2.87
0.24,"Very Good","D","SI1",63.1,55,475,3.95,4.01,2.51
0.33,"Ideal","D","SI1",62.5,54,780,4.44,4.43,2.77
1.17,"Good","H","SI2",63.8,58,4826,6.57,6.73,4.24
0.9,"Fair","D","SI2",64.7,59,3205,6.09,5.99,3.91
0.35,"Premium","E","VS2",60.4,60,984,4.55,4.52,2.74
0.53,"Very Good","D","VVS2",60.5,57,2542,5.23,5.31,3.19
0.52,"Ideal","E","SI1",60.8,55,1737,5.2,5.24,3.18
0.3,"Premium","G","VS2",60.6,60,675,4.34,4.3,2.62
0.34,"Ideal","E","VVS2",61.8,56,838,4.48,4.52,2.78
0.32,"Very Good","D","VS2",58.8,59,646,4.49,4.52,2.65
0.31,"Premium","D","SI1",62.1,58,732,4.33,4.3,2.68
0.73,"Premium","E","VS2",61.9,57,3127,5.79,5.75,3.57
1.02,"Ideal","I","VS2",62.7,56,4281,6.37,6.43,4.01
1.51,"Premium","E","VS2",62.2,58,13757,7.33,7.27,4.54
0.7,"Ideal","G","VS1",61.2,57,3140,5.7,5.74,3.5
2.08,"Ideal","H","SI2",61.5,57,15065,8.26,8.2,5.06
0.33,"Very Good","I","VVS2",61.6,57,552,4.43,4.45,2.73
2.61,"Ideal","J","SI2",64.6,55,17209,8.61,8.57,5.55
0.72,"Ideal","J","VS1",62.7,57,2112,5.74,5.71,3.59
0.35,"Premium","E","SI1",61.1,59,788,4.56,4.5,2.77
0.44,"Premium","H","VS2",61.3,58,1040,4.91,4.88,3
1.52,"Very Good","G","VS2",62.4,56,11093,7.26,7.36,4.56
0.51,"Ideal","D","VS2",61.7,55,1787,5.11,5.14,3.16
1.04,"Premium","G","VS2",62.5,58,6290,6.47,6.43,4.03
0.52,"Premium","G","SI2",61.5,59,1196,5.19,5.15,3.18
2.01,"Very Good","G","SI1",62.1,60,18398,7.94,8.03,4.96
0.34,"Ideal","G","VS2",61,57,596,4.48,4.5,2.74
1.12,"Ideal","G","VS1",62.2,56,7827,6.71,6.67,4.16
1.26,"Ideal","F","VS2",61.4,57,9236,7.02,6.96,4.29
0.92,"Premium","G","SI2",58.4,58,3648,6.4,6.34,3.73
1.2,"Premium","D","SI1",59.7,59,7338,6.91,6.86,4.11
2,"Very Good","H","SI1",62.7,56,17247,7.98,8.02,5.02
1.77,"Ideal","D","SI2",61.8,57,13026,7.77,7.71,4.78
1,"Fair","G","SI1",66.1,62,3700,6.1,6.03,4.01
1.02,"Premium","G","VS1",62,59,6238,6.45,6.39,3.98
1,"Premium","H","SI1",61.8,59,4150,6.4,6.35,3.94
1.05,"Ideal","F","VS2",59.1,57,7697,6.67,6.66,3.94
0.9,"Very Good","E","VS1",62.3,56,5001,6.1,6.19,3.83
0.5,"Very Good","D","SI1",58.8,60,1436,5.17,5.23,3.06
1.31,"Ideal","F","SI1",62.4,56,6470,6.98,6.9,4.33
1,"Very Good","H","VVS2",60.3,59,5929,6.41,6.46,3.88
0.4,"Premium","E","SI1",60.9,60,737,4.75,4.77,2.9
0.74,"Very Good","E","VS2",61.8,58,3180,5.79,5.82,3.59
1.57,"Ideal","G","VS1",61.9,55,13462,7.53,7.47,4.64
1.57,"Very Good","H","SI1",62.4,58,12392,7.39,7.49,4.64
1,"Good","G","SI1",63.3,60,4543,6.24,6.33,3.98
0.33,"Ideal","E","VS1",61.1,56,850,4.45,4.48,2.73
1.5,"Fair","H","SI1",65.9,56,7211,7.11,7.04,4.66
0.78,"Very Good","G","VS1",61.5,55,3472,5.92,5.97,3.66
1.22,"Premium","I","VS2",61.6,59,4562,6.86,6.81,4.21
0.99,"Very Good","F","SI2",61.2,56,4852,6.4,6.45,3.93
0.9,"Premium","H","VVS1",62.3,59,4890,6.15,6.09,3.81
1.2,"Very Good","I","SI1",62.9,57,5211,6.73,6.78,4.25
0.9,"Good","H","SI2",63.1,55,3024,6.08,6.13,3.85
1.3,"Premium","H","SI2",61.3,58,5096,6.99,6.95,4.27
0.7,"Ideal","E","VS1",60.5,56,3419,5.78,5.83,3.51
1.02,"Very Good","F","SI1",60.2,58,6195,6.49,6.54,3.92
1.5,"Premium","E","SI2",63,59,9072,7.24,7.18,4.54
0.32,"Ideal","G","VS1",62.1,55,828,4.41,4.38,2.73
0.51,"Good","E","SI1",63.9,56,1443,5.11,5.07,3.25
1.53,"Premium","H","VS2",60.1,58,11087,7.6,7.57,4.71
1,"Premium","F","SI1",62.3,59,5221,6.44,6.36,3.99
0.35,"Ideal","D","VS2",61.9,55,829,4.5,4.54,2.8
0.57,"Ideal","F","VS1",62.6,56,1949,5.27,5.33,3.32
0.7,"Fair","F","VS2",64.5,57,2762,5.57,5.53,3.58
0.43,"Very Good","I","VVS1",63,56,905,4.83,4.86,3.05
1.63,"Premium","G","SI1",61,59,11721,7.64,7.58,4.64
0.3,"Ideal","G","VS2",61.6,57,545,4.3,4.33,2.66
0.9,"Good","G","VVS2",63.6,58,5001,6.1,6.11,3.88
1.16,"Premium","F","SI2",61.9,59,4476,6.71,6.66,4.14
1.54,"Very Good","I","VS2",62.2,58,8656,7.32,7.37,4.57
0.43,"Ideal","G","IF",61.2,57,1433,4.81,4.86,2.96
1.01,"Ideal","G","VS2",62,54.9,6295,6.41,6.44,3.99
1.03,"Ideal","G","SI2",61.7,55,4391,6.48,6.52,4.01
0.4,"Premium","F","VS1",61.4,58,1050,4.75,4.73,2.91
1.26,"Ideal","G","VS1",62.2,54,10371,6.89,6.98,4.31
1.22,"Premium","I","VS1",61.1,58,6121,6.91,6.84,4.2
0.31,"Premium","F","VS2",59.3,60,625,4.39,4.41,2.61
0.56,"Ideal","H","VVS1",62.3,55,1882,5.3,5.26,3.29
1.49,"Fair","H","I1",66.9,61,6425,6.93,6.89,4.62
1.55,"Ideal","J","VS2",61.7,57,7416,7.37,7.42,4.56
0.54,"Premium","H","SI2",61.8,60,972,5.2,5.16,3.2
1.21,"Premium","D","VVS1",60.1,59,17192,6.96,6.88,4.16
0.5,"Ideal","D","SI1",61.6,55,1654,5.13,5.1,3.15
0.3,"Premium","D","SI1",62.3,59,709,4.25,4.22,2.64
0.35,"Ideal","F","VS1",62.4,55,853,4.52,4.49,2.81
1.6,"Ideal","J","SI1",62.2,55,8138,7.46,7.53,4.66
0.91,"Good","E","SI2",63.1,61,3520,6.04,6.14,3.84
1.05,"Ideal","E","VVS2",62.4,56,8982,6.49,6.52,4.06
1.31,"Premium","J","SI1",59.4,60,5446,7.06,7.12,4.21
0.41,"Ideal","G","VS1",60.8,57,899,4.8,4.84,2.93
0.9,"Ideal","F","VS2",62.6,56,4801,6.16,6.23,3.88
1.21,"Ideal","E","VS1",62.4,57,10351,6.75,6.83,4.24
1.09,"Premium","I","VS2",63,56,4519,6.61,6.57,4.15
0.33,"Ideal","H","VS1",60.9,56,727,4.46,4.5,2.73
0.31,"Very Good","F","SI1",60.6,60,516,4.34,4.37,2.64
0.74,"Premium","F","SI1",61.4,59,2671,5.82,5.81,3.57
0.59,"Premium","H","VVS2",62.3,55,1886,5.42,5.33,3.35
1.05,"Fair","H","SI2",64.8,55,2717,6.39,6.32,4.12
0.34,"Ideal","E","VVS1",61,57,946,4.53,4.55,2.77
0.51,"Very Good","G","SI1",63.1,56,1261,5.08,5.16,3.23
1.2,"Ideal","J","SI1",61.6,57,4831,6.79,6.87,4.21
0.52,"Very Good","E","SI2",62.6,58,1190,5.11,5.14,3.21
0.25,"Ideal","F","VVS1",61.3,58,817,4.04,4.08,2.49
0.37,"Ideal","E","VS2",62,57,811,4.6,4.63,2.86
1.01,"Good","E","SI1",63.9,56,5724,6.37,6.31,4.05
0.96,"Premium","I","SI2",62.7,58,3229,6.24,6.2,3.9
0.31,"Premium","E","VVS2",60.5,57,837,4.41,4.39,2.66
1.09,"Ideal","E","VS1",61.3,56,8809,6.71,6.66,4.1
1.01,"Ideal","D","VVS1",62.5,55,11661,6.39,6.44,4.01
0.42,"Ideal","D","VVS1",62.8,56,1621,4.8,4.76,3
1.26,"Very Good","F","VS2",61.4,59,9071,6.86,6.96,4.24
0.31,"Ideal","D","SI1",61.7,57,571,4.34,4.38,2.69
0.32,"Very Good","E","SI1",62.2,58,561,4.36,4.39,2.72
1.38,"Premium","G","SI2",58.3,59,5487,7.34,7.27,4.26
1.01,"Premium","E","SI2",60.4,57,3801,6.53,6.49,3.93
0.36,"Ideal","F","VS1",61.3,55,803,4.59,4.61,2.82
0.32,"Ideal","D","VVS1",61,57,1064,4.45,4.43,2.71
0.65,"Ideal","G","IF",60.1,57,3536,5.61,5.65,3.38
0.9,"Very Good","F","SI2",63,56,3368,6.09,6.16,3.86
1.74,"Premium","J","VS2",61.9,62,8364,7.62,7.54,4.7
1.58,"Ideal","E","VS1",62.6,56,18057,7.44,7.41,4.65
0.52,"Ideal","I","IF",60.9,57,2111,5.17,5.21,3.16
0.7,"Good","G","VS1",60.6,61,2591,5.71,5.77,3.48
1.71,"Premium","I","VS2",61.5,58,9116,7.74,7.54,4.7
0.51,"Ideal","F","VVS2",62.2,56,2093,5.08,5.12,3.17
0.52,"Ideal","D","SI1",62.4,56,1720,5.17,5.12,3.21
1.66,"Very Good","H","SI1",63.3,59,8831,7.48,7.45,4.72
0.53,"Ideal","E","VS2",61.4,56,1813,5.24,5.21,3.21
0.52,"Ideal","G","SI1",62.2,54,1352,5.18,5.2,3.23
0.38,"Ideal","G","SI1",61.8,54,969,4.69,4.67,2.9
0.31,"Very Good","E","SI1",63.1,54,698,4.34,4.31,2.73
1.02,"Ideal","E","SI2",62.4,55,4398,6.44,6.47,4.03
0.34,"Premium","H","VS1",61.3,56,765,4.53,4.48,2.76
0.92,"Premium","F","SI1",62.1,60,4420,6.22,6.21,3.86
0.53,"Ideal","F","VS1",62.3,55,1812,5.18,5.22,3.24
1.03,"Good","J","VS1",60.1,62.4,4582,6.43,6.49,3.88
0.61,"Ideal","G","VS1",62.6,55,2309,5.46,5.43,3.41
0.33,"Ideal","I","VS1",61.6,57,521,4.41,4.46,2.73
0.32,"Ideal","D","SI1",61.2,56,714,4.45,4.47,2.73
0.31,"Very Good","G","VS2",63.4,59,698,4.32,4.29,2.73
0.42,"Ideal","G","VS1",61.4,56,984,4.85,4.82,2.97
1.13,"Premium","F","SI2",58.3,61,4025,6.88,6.78,3.98
1,"Good","F","VVS2",56.5,63,7016,6.65,6.62,3.75
1.51,"Very Good","J","VVS2",62.6,63,8706,7.29,7.24,4.55
0.34,"Premium","D","SI1",59.6,59,803,4.57,4.55,2.72
0.52,"Very Good","D","VS2",63.5,57,1828,5.13,5.08,3.24
0.72,"Very Good","F","SI1",63.4,58,2670,5.69,5.66,3.6
1.11,"Premium","G","VS2",61,59,5346,6.7,6.67,4.08
0.3,"Very Good","G","VVS2",62.3,59,684,4.25,4.29,2.66
0.59,"Ideal","D","VS1",60.9,56,2175,5.39,5.44,3.3
0.52,"Ideal","E","VS2",62,55,1815,5.19,5.14,3.2
0.6,"Very Good","D","SI1",60,56,1841,5.46,5.51,3.29
0.3,"Ideal","D","VVS1",62.2,57,866,4.3,4.35,2.69
0.42,"Premium","E","SI1",60,58,926,4.89,4.85,2.92
0.6,"Ideal","G","VVS2",61.2,56,2190,5.43,5.45,3.33
