,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b[3],0.215,0.012,0.194,0.237,0.0,0.0,27432.0,15332.0,1.0
b[12],1.131,0.013,1.106,1.156,0.0,0.0,27731.0,14839.0,1.0
b[29],0.06,0.003,0.055,0.065,0.0,0.0,29020.0,14197.0,1.0
b[11],-0.262,0.026,-0.312,-0.215,0.0,0.0,21282.0,14679.0,1.0
b[1],0.528,0.012,0.506,0.55,0.0,0.0,24545.0,15393.0,1.0
b[2],0.245,0.02,0.205,0.282,0.0,0.0,24749.0,15084.0,1.0
b[5],0.28,0.005,0.271,0.291,0.0,0.0,31344.0,13225.0,1.0
b[18],-0.928,0.025,-0.976,-0.883,0.0,0.0,22843.0,15388.0,1.0
b[24],0.237,0.012,0.215,0.259,0.0,0.0,25058.0,14015.0,1.0
b[30],0.291,0.01,0.272,0.31,0.0,0.0,29832.0,14030.0,1.0
b[0],1.459,0.029,1.403,1.513,0.0,0.0,13109.0,14822.0,1.0
b[8],0.105,0.01,0.087,0.124,0.0,0.0,28070.0,14833.0,1.0
b[14],-1.184,0.053,-1.279,-1.082,0.0,0.0,27759.0,14859.0,1.0
b[20],0.134,0.007,0.12,0.148,0.0,0.0,25732.0,14970.0,1.0
b[27],0.101,0.021,0.062,0.141,0.0,0.0,16490.0,15754.0,1.0
b[7],-1.418,0.02,-1.457,-1.381,0.0,0.0,31244.0,14551.0,1.0
b[9],1.621,0.021,1.583,1.66,0.0,0.0,30844.0,14107.0,1.0
b[13],0.478,0.027,0.427,0.528,0.0,0.0,30724.0,15073.0,1.0
b[23],-0.522,0.019,-0.556,-0.486,0.0,0.0,28869.0,15081.0,1.0
b[6],-0.034,0.002,-0.038,-0.03,0.0,0.0,31486.0,13934.0,1.0
b[17],-0.91,0.016,-0.938,-0.88,0.0,0.0,30778.0,14031.0,1.0
b[25],0.539,0.013,0.515,0.562,0.0,0.0,25637.0,15364.0,1.0
b[15],1.006,0.011,0.984,1.027,0.0,0.0,29054.0,14255.0,1.0
b[10],0.352,0.015,0.324,0.381,0.0,0.0,23421.0,15275.0,1.0
b[16],0.278,0.019,0.242,0.313,0.0,0.0,24539.0,14824.0,1.0
b[19],0.15,0.005,0.14,0.159,0.0,0.0,18591.0,15630.0,1.0
b[26],-0.18,0.019,-0.217,-0.147,0.0,0.0,27685.0,15367.0,1.0
b[31],-0.728,0.022,-0.77,-0.688,0.0,0.0,28320.0,15310.0,1.0
b[4],-0.358,0.014,-0.384,-0.332,0.0,0.0,27977.0,13740.0,1.0
b[21],-1.191,0.062,-1.306,-1.074,0.0,0.0,31507.0,14700.0,1.0
b[22],0.966,0.008,0.951,0.98,0.0,0.0,28808.0,14591.0,1.0
b[28],1.215,0.008,1.199,1.231,0.0,0.0,28117.0,14197.0,1.0
d[3],-0.762,0.02,-0.8,-0.724,0.0,0.0,24682.0,15548.0,1.0
d[12],-0.391,0.014,-0.417,-0.364,0.0,0.0,29460.0,14121.0,1.0
d[29],-2.577,0.029,-2.631,-2.523,0.0,0.0,29811.0,14985.0,1.0
d[11],-1.24,0.058,-1.347,-1.13,0.0,0.0,31802.0,14007.0,1.0
d[1],-0.566,0.014,-0.593,-0.539,0.0,0.0,27024.0,15710.0,1.0
d[2],-0.376,0.019,-0.412,-0.34,0.0,0.0,29951.0,14115.0,1.0
d[5],-1.539,0.021,-1.579,-1.499,0.0,0.0,25453.0,15377.0,1.0
d[18],-0.61,0.032,-0.67,-0.551,0.0,0.0,26820.0,14471.0,1.0
d[24],-1.595,0.043,-1.68,-1.519,0.0,0.0,26201.0,13889.0,1.0
d[30],-0.753,0.016,-0.783,-0.723,0.0,0.0,31853.0,14023.0,1.0
d[0],-0.481,0.029,-0.536,-0.426,0.0,0.0,17746.0,15434.0,1.0
d[8],-1.504,0.038,-1.575,-1.434,0.0,0.0,23699.0,14806.0,1.0
d[14],0.551,0.022,0.51,0.591,0.0,0.0,30917.0,13988.0,1.0
d[20],-1.569,0.026,-1.618,-1.52,0.0,0.0,23333.0,15185.0,1.0
d[27],-1.038,0.041,-1.115,-0.962,0.0,0.0,17514.0,14278.0,1.0
d[7],0.05,0.014,0.024,0.078,0.0,0.0,29835.0,14880.0,1.0
d[9],0.059,0.015,0.03,0.088,0.0,0.0,28922.0,15047.0,1.0
d[13],0.131,0.021,0.092,0.171,0.0,0.0,23923.0,15214.0,1.0
d[23],-0.286,0.019,-0.32,-0.249,0.0,0.0,30761.0,14492.0,1.0
d[6],-2.379,0.015,-2.407,-2.351,0.0,0.0,31760.0,14344.0,1.0
d[17],-0.137,0.013,-0.161,-0.113,0.0,0.0,30592.0,14561.0,1.0
d[25],-0.714,0.021,-0.754,-0.675,0.0,0.0,25529.0,15224.0,1.0
d[15],-0.728,0.018,-0.762,-0.696,0.0,0.0,28092.0,13671.0,1.0
d[10],-0.564,0.019,-0.599,-0.528,0.0,0.0,26242.0,14338.0,1.0
d[16],-0.374,0.031,-0.433,-0.317,0.0,0.0,21324.0,15466.0,1.0
d[19],-2.068,0.029,-2.124,-2.015,0.0,0.0,20612.0,15369.0,1.0
d[26],-0.412,0.019,-0.448,-0.376,0.0,0.0,31958.0,14478.0,1.0
d[31],-0.926,0.039,-0.999,-0.852,0.0,0.0,32388.0,13733.0,1.0
d[4],-0.169,0.013,-0.193,-0.146,0.0,0.0,31251.0,13741.0,1.0
d[21],0.735,0.022,0.694,0.775,0.0,0.0,29099.0,13318.0,1.0
d[22],-0.785,0.014,-0.811,-0.76,0.0,0.0,27566.0,14962.0,1.0
d[28],-0.219,0.007,-0.233,-0.206,0.0,0.0,26340.0,14851.0,1.0
a[3],-0.435,0.045,-0.52,-0.35,0.001,0.0,3233.0,8346.0,1.0
a[12],-0.328,0.032,-0.387,-0.266,0.001,0.0,2034.0,5014.0,1.0
a[29],-0.174,0.039,-0.248,-0.102,0.001,0.0,2669.0,6739.0,1.0
a[11],-1.97,0.104,-2.167,-1.779,0.001,0.001,12376.0,13477.0,1.0
a[1],-0.288,0.046,-0.376,-0.203,0.001,0.0,3655.0,9071.0,1.0
a[2],-0.813,0.057,-0.919,-0.706,0.001,0.0,5271.0,10567.0,1.0
a[5],-0.522,0.051,-0.619,-0.428,0.001,0.0,3811.0,9408.0,1.0
a[18],-0.011,0.032,-0.07,0.049,0.001,0.0,1792.0,5413.0,1.0
a[24],-0.045,0.033,-0.107,0.017,0.001,0.0,1977.0,5250.0,1.0
a[30],-0.208,0.038,-0.281,-0.137,0.001,0.0,2631.0,6538.0,1.0
a[0],-1.118,0.06,-1.23,-1.003,0.001,0.0,5369.0,9923.0,1.0
a[8],0.137,0.032,0.078,0.198,0.001,0.0,1894.0,4751.0,1.0
a[14],-0.984,0.052,-1.083,-0.889,0.001,0.0,4529.0,9684.0,1.0
a[20],-1.093,0.058,-1.203,-0.984,0.001,0.0,5574.0,10639.0,1.0
a[27],-0.355,0.052,-0.454,-0.257,0.001,0.0,3931.0,9599.0,1.0
a[7],-0.014,0.034,-0.078,0.051,0.001,0.0,1997.0,5126.0,1.0
a[9],-0.329,0.035,-0.395,-0.263,0.001,0.0,2283.0,6781.0,1.0
a[13],-0.1,0.033,-0.163,-0.04,0.001,0.0,1930.0,4891.0,1.0
a[23],-0.304,0.042,-0.38,-0.225,0.001,0.0,3191.0,8016.0,1.0
a[6],-0.368,0.044,-0.452,-0.285,0.001,0.0,3157.0,7048.0,1.0
a[17],-0.084,0.029,-0.139,-0.029,0.001,0.0,1623.0,4474.0,1.0
a[25],-0.233,0.045,-0.318,-0.151,0.001,0.0,3428.0,8005.0,1.0
a[15],-0.563,0.034,-0.629,-0.502,0.001,0.0,2189.0,5927.0,1.0
a[10],-0.89,0.05,-0.991,-0.801,0.001,0.0,4162.0,8614.0,1.0
a[16],-0.233,0.047,-0.32,-0.144,0.001,0.0,3409.0,8610.0,1.0
a[19],-0.522,0.047,-0.611,-0.433,0.001,0.0,3435.0,9326.0,1.0
a[26],-0.209,0.033,-0.272,-0.148,0.001,0.0,2054.0,6154.0,1.0
a[31],-0.243,0.034,-0.308,-0.18,0.001,0.0,2113.0,5494.0,1.0
a[4],-0.358,0.042,-0.437,-0.279,0.001,0.0,3119.0,7548.0,1.0
a[21],-0.673,0.039,-0.744,-0.599,0.001,0.0,2649.0,6316.0,1.0
a[22],-1.104,0.07,-1.24,-0.976,0.001,0.001,7113.0,12124.0,1.0
a[28],-0.385,0.046,-0.472,-0.299,0.001,0.0,3940.0,9153.0,1.0
G_diff,0.746,0.135,0.492,0.999,0.001,0.001,9395.0,11311.0,1.0
theta[74],-1.178,0.463,-2.062,-0.331,0.003,0.004,27818.0,13326.0,1.0
theta[735],0.476,0.151,0.196,0.758,0.002,0.001,9415.0,11064.0,1.0
theta[733],-0.123,0.161,-0.416,0.195,0.002,0.001,11311.0,13056.0,1.0
theta[705],-0.86,0.189,-1.216,-0.504,0.002,0.002,12810.0,12985.0,1.0
theta[527],0.409,0.157,0.115,0.699,0.002,0.001,9368.0,12222.0,1.0
theta[710],0.127,0.157,-0.161,0.426,0.002,0.001,10345.0,12441.0,1.0
theta[897],0.526,0.156,0.242,0.825,0.002,0.001,9718.0,11813.0,1.0
theta[804],0.037,0.149,-0.228,0.334,0.002,0.001,8557.0,11236.0,1.0
theta[934],-0.971,0.194,-1.331,-0.606,0.002,0.002,11024.0,12620.0,1.0
theta[887],-0.637,0.167,-0.958,-0.329,0.002,0.001,11648.0,12443.0,1.0
theta[1043],0.413,0.162,0.104,0.718,0.002,0.001,10124.0,12139.0,1.0
theta[912],0.522,0.187,0.164,0.868,0.002,0.002,12300.0,12054.0,1.0
theta[506],0.436,0.283,-0.092,0.975,0.002,0.003,24720.0,11735.0,1.0
theta[193],-2.789,0.16,-3.077,-2.484,0.002,0.001,4204.0,8833.0,1.0
theta[378],0.738,0.15,0.457,1.023,0.002,0.001,7908.0,11536.0,1.0
theta[216],-0.091,0.165,-0.402,0.223,0.002,0.001,11700.0,11621.0,1.0
theta[676],-0.841,0.152,-1.13,-0.556,0.002,0.001,7949.0,11804.0,1.0
theta[699],0.881,0.154,0.597,1.179,0.002,0.001,8555.0,10717.0,1.0
theta[44],-0.162,0.238,-0.606,0.285,0.002,0.002,20071.0,13131.0,1.0
theta[1158],0.557,0.139,0.3,0.823,0.002,0.001,8180.0,12175.0,1.0
theta[242],-0.242,0.199,-0.616,0.13,0.002,0.002,16269.0,13436.0,1.0
theta[759],-0.152,0.175,-0.485,0.172,0.002,0.001,12898.0,13405.0,1.0
theta[82],0.05,0.147,-0.225,0.323,0.001,0.001,9662.0,11573.0,1.0
theta[443],0.868,0.166,0.561,1.183,0.002,0.001,9208.0,12641.0,1.0
theta[929],0.576,0.148,0.296,0.853,0.002,0.001,8834.0,12028.0,1.0
