Subject,Cond,Attempted,Correct,percent,Date,Time,SMT1,SMT2,SMT3,SMT4,SMT5,SMT6,SMT7,SMT8,SMT9,SMT10,SMT11,SMT12,SMT13,SMT14,SMT15,SMT16,SMT17,SMT18,SMT19,SMT20,SMT21,SMT22,SMT23,SMT24,SMT25
12,1,25,7,0.28,11/10/2014,18:20:58,c,x,ok,ok,ok,c,ok,c,4,3,1,3,3,2,c,c,ok,ok,4,c,ok,ok,ok,c,1
9,1,25,3,0.12,11/10/2014,12:17:23,c,x,ok,ok,ok,ok,ok,3,1,3,4,2,2,4,3,1,ok,ok,2,4,ok,ok,ok,c,c
1,1,16,9,0.5625,10/29/2014,13:29:11,c,x,ok,ok,c,c,c,c,c,3,c,3,4,2,c,c,99,99,99,99,99,99,99,99,99
5044,1,5,2,0.4,11/5/2014,13:34:28,c,c,ok,ok,ok,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
6,1,7,4,0.571428571,11/5/2014,19:37:14,c,x,c,c,c,ok,ok,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
11,1,15,4,0.266666667,11/10/2014,13:51:47,c,x,ok,ok,ok,ok,ok,3,c,c,1,3,3,1,c,99,99,99,99,99,99,99,99,99,99
1,1,21,9,0.428571429,11/10/2014,19:49:58,c,x,ok,ok,c,ok,ok,c,c,3,c,2,2,3,c,c,ok,c,1,c,ok,99,99,99,99
16,1,5,1,0.2,11/12/2014,9:34:14,c,x,ok,ok,ok,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
1,1,8,5,0.625,11/12/2014,13:29:46,c,x,ok,ok,c,c,c,c,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
20,1,10,5,0.5,11/12/2014,18:57:24,c,x,ok,ok,c,c,ok,3,c,c,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
22,1,7,4,0.571428571,11/12/2014,20:20:19,c,x,ok,c,c,c,ok,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
24,1,22,6,0.272727273,11/13/2014,16:54:39,c,x,ok,ok,ok,ok,ok,c,c,2,c,2,c,4,4,c,ok,ok,4,4,ok,ok,99,99,99
26,1,7,3,0.428571429,11/14/2014,9:30:50,c,x,c,ok,c,ok,ok,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
29,1,21,12,0.571428571,11/14/2014,12:21:19,c,c,ok,ok,c,ok,c,c,c,2,c,2,3,1,c,c,c,c,2,c,ok,99,99,99,99
32,1,10,6,0.6,11/17/2014,9:29:45,c,x,ok,ok,ok,c,c,c,c,c,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
34,1,7,3,0.428571429,11/17/2014,12:24:40,c,x,ok,ok,c,ok,c,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
36,1,17,8,0.470588235,11/17/2014,13:36:56,c,x,ok,ok,ok,c,c,c,c,2,c,4,c,3,2,c,ok,99,99,99,99,99,99,99,99
38,1,8,4,0.5,11/17/2014,15:32:43,c,x,ok,ok,ok,c,c,c,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
