id,arrest,fin,age,race,wexp,mar,paro,prio,educ,emp
1,1,no,27,black,no,no,yes,3,3,no
2,1,no,18,black,no,no,yes,8,4,no
3,1,no,19,other,yes,no,yes,13,3,no
4,0,yes,23,black,yes,yes,yes,1,5,yes
5,0,no,19,other,yes,no,yes,3,3,no
6,0,no,24,black,yes,no,no,2,4,no
7,1,no,25,black,yes,yes,yes,0,4,no
8,0,yes,21,black,yes,no,yes,4,3,no
9,0,no,22,black,no,no,no,6,3,yes
10,0,no,20,black,yes,no,no,0,5,no
11,0,yes,26,black,no,no,yes,3,3,yes
12,0,no,40,black,yes,no,no,2,5,yes
13,1,no,17,black,yes,no,yes,5,3,no
14,0,no,37,black,yes,no,no,2,3,yes
15,1,no,20,black,no,no,yes,3,4,no
16,1,yes,22,black,yes,no,yes,2,3,no
17,1,no,19,black,no,no,no,7,3,no
18,0,no,20,black,no,no,no,2,3,no
19,0,no,25,black,no,no,yes,12,3,yes
20,0,no,24,other,yes,no,yes,1,3,no
21,0,no,23,black,no,no,yes,4,3,yes
22,0,yes,44,black,yes,yes,yes,0,3,yes
23,1,yes,29,black,yes,no,yes,2,4,no
24,0,yes,28,other,yes,no,yes,1,3,yes
25,0,yes,21,black,yes,no,no,0,4,no
26,0,yes,19,black,yes,no,yes,2,3,yes
27,0,no,33,black,yes,no,yes,1,4,yes
28,0,no,19,black,no,no,no,2,3,no
29,0,yes,19,black,no,no,yes,3,3,yes
30,0,yes,23,black,yes,yes,yes,9,3,yes
31,0,yes,23,black,no,no,yes,3,5,no
32,0,yes,19,black,no,no,yes,1,3,yes
33,0,yes,42,black,yes,no,no,0,5,no
34,0,no,23,black,yes,yes,no,2,4,no
35,0,no,24,black,yes,no,no,3,4,yes
36,1,yes,20,black,yes,no,yes,2,3,yes
37,0,no,22,black,yes,no,yes,5,3,no
38,0,no,27,black,yes,no,no,2,3,yes
39,0,yes,19,black,no,no,no,4,3,no
40,0,no,28,black,yes,no,yes,3,3,no
41,0,yes,33,black,yes,yes,no,9,3,no
42,0,no,24,black,yes,no,yes,1,4,no
43,1,no,21,black,no,no,yes,14,3,yes
44,0,no,22,black,no,no,yes,2,3,yes
45,0,yes,19,black,no,no,yes,2,4,no
46,0,yes,22,black,no,no,no,2,4,yes
47,0,yes,22,black,no,no,no,15,3,no
48,1,yes,23,black,yes,no,yes,5,3,yes
49,0,no,32,black,yes,yes,yes,2,3,yes
50,0,yes,27,black,yes,no,yes,0,4,yes
51,0,yes,36,black,yes,no,no,0,3,yes
52,0,yes,22,black,yes,no,yes,1,4,no
53,0,yes,32,black,yes,no,yes,1,3,yes
54,1,yes,19,black,yes,no,no,10,3,yes
