State,Abbreviation,Nairports,TotalSqMiles,Population,PctBiden2020,PctTrump2020,PctCatholic,PctIrreligion
Alabama,AL,6,52420,5024279,36.57,62.03,7,12
Alaska,AK,24,665384,733391,42.77,52.83,16,31
Arizona,AZ,8,113990,7151502,49.36,49.06,21,27
Arkansas,AR,5,53179,3011524,34.78,62.4,8,18
California,CA,22,163695,39538223,63.48,34.32,28,27
Colorado,CO,11,104094,5773714,55.4,41.9,16,29
Connecticut,CT,3,5543,3605944,59.26,39.19,33,23
Delaware,DE,2,2489,989948,58.74,39.77,22,23
Florida,FL,20,65758,21538187,47.86,51.22,21,24
Georgia,GA,9,59425,10711908,49.47,49.24,9,18
Hawaii,HI,8,10932,1455271,63.73,34.27,20,26
Idaho,ID,7,83569,1839106,33.07,63.84,10,27
Illinois,IL,11,57914,12812508,57.54,40.55,28,22
Indiana,IN,5,36420,6785528,40.96,57.03,18,26
Iowa,IA,6,56273,3190369,44.89,53.09,18,21
Kansas,KS,6,82278,2937880,41.51,56.14,18,20
Kentucky,KY,6,40408,4505836,36.15,62.09,10,22
Louisiana,LA,8,52378,4657757,39.85,58.46,26,13
Maine,ME,5,35380,1362359,53.09,44.02,21,31
Maryland,MD,4,12406,6177224,65.36,32.15,15,23
Massachusetts,MA,6,10554,7029917,65.6,32.14,34,32
Michigan,MI,16,96714,10077331,50.62,47.84,18,24
Minnesota,MN,8,86936,5706494,52.4,45.28,22,20
Mississippi,MS,7,48432,2961279,41.06,57.6,4,14
Missouri,MO,8,69707,6154913,41.41,56.8,16,20
Montana,MT,9,147040,1084225,40.55,56.92,17,30
Nebraska,NE,7,77348,1961504,39.17,58.22,23,20
Nevada,NV,5,110572,3104614,50.06,47.67,25,28
New Hampshire,NH,3,9349,1377529,52.71,45.36,26,36
New Jersey,NJ,4,8723,9288994,57.33,41.4,34,18
New Mexico,NM,5,121590,2117522,54.29,43.5,34,21
New York,NY,17,54555,20201249,60.87,37.74,31,27
North Carolina,NC,11,53819,10439388,48.59,49.93,9,20
North Dakota,ND,8,70698,779094,31.78,65.12,26,20
Ohio,OH,7,44826,11799448,45.24,53.27,18,22
Oklahoma,OK,5,69899,3959353,32.29,65.37,8,18
Oregon,OR,6,98379,4237256,56.45,40.37,12,31
Pennsylvania,PA,9,46054,13002700,50.02,48.69,24,21
Rhode Island,RI,4,1545,1097379,59.39,38.61,42,20
South Carolina,SC,7,32020,5118425,43.43,55.11,10,19
South Dakota,SD,6,77116,886667,35.61,61.77,22,18
Tennessee,TN,6,42144,6910840,37.45,60.66,6,14
Texas,TX,26,268596,29145505,46.48,52.06,23,18
Utah,UT,7,84897,3271616,37.65,58.13,5,22
Vermont,VT,2,9616,643077,66.09,30.67,22,37
Virginia,VA,10,42775,8631393,54.11,44,12,20
Washington,WA,13,71298,7705281,57.97,38.77,17,32
West Virginia,WV,5,24230,1793716,29.69,68.62,6,18
Wisconsin,WI,9,65496,5893718,49.45,48.82,25,25
Wyoming,WY,9,97813,576851,26.55,69.94,14,26
