Gender,Major,SAT_math,SAT_verbal,GPA
F,CS,640,530,2.35
F,CS,670,600,2.08
F,CS,600,400,3.21
F,CS,570,480,2.34
F,CS,510,530,1.4
F,CS,750,610,1.43
F,CS,650,460,2.48
F,CS,720,630,3.73
F,CS,760,500,3.8
F,CS,640,670,2
F,CS,640,490,3.16
F,CS,520,360,2.73
F,CS,700,520,1.07
F,CS,490,550,1.82
F,CS,640,520,3.12
F,CS,550,290,2.25
F,CS,600,520,2.93
F,CS,710,530,2.83
F,CS,750,670,3.1
F,CS,620,480,2.87
F,CS,630,440,3.61
F,CS,770,720,2.75
F,CS,610,560,3.26
F,CS,640,570,3.67
F,CS,650,480,3.3
F,CS,660,630,3.62
F,CS,570,480,2.55
F,CS,690,550,3.25
F,CS,670,500,2.21
F,CS,660,460,2.5
F,CS,600,630,3.03
F,CS,447,320,1.92
F,CS,580,470,2.7
F,CS,630,630,2.96
F,CS,600,560,2.76
F,CS,550,560,3.4
F,CS,630,500,2.48
F,CS,750,760,3.86
F,CS,491,391,2.62
F,EO,550,500,3.72
F,EO,550,500,3.72
F,EO,630,500,3.5
F,EO,630,500,3.5
F,EO,630,500,3.5
F,EO,690,440,2.83
F,EO,690,440,2.83
F,EO,540,400,3.06
F,EO,540,400,3.06
F,EO,640,480,4
F,EO,640,480,4
F,EO,520,410,3.7
F,EO,520,410,3.7
F,EO,559,488,2.81
F,EO,559,488,2.81
F,EO,590,510,1.93
F,EO,590,510,1.93
F,EO,590,510,1.93
F,EO,580,580,3.7
F,EO,580,580,3.7
F,EO,670,440,2.96
F,EO,670,440,2.96
F,EO,620,590,2.64
F,EO,620,590,2.64
F,EO,620,590,2.64
F,EO,540,470,3.09
F,EO,540,470,3.09
F,EO,620,560,3
F,EO,620,560,3
F,EO,620,560,3
F,EO,770,540,2.97
F,EO,770,540,2.97
F,EO,620,570,2.81
F,EO,620,570,2.81
F,EO,620,570,2.81
F,EO,660,560,3.32
F,EO,660,560,3.32
F,EO,710,500,3.4
F,EO,710,500,3.4
F,O,610,390,1.84
F,O,560,690,0.4
F,O,690,460,2.88
F,O,590,440,2.77
F,O,530,560,2.43
F,O,640,500,2.63
F,O,590,470,1.66
F,O,559,545,2.12
F,O,490,370,2.46
F,O,670,480,1.59
F,O,720,610,1.14
F,O,640,520,0.65
F,O,520,380,2.12
F,O,480,410,2.34
F,O,480,390,2.11
F,O,530,470,1.34
F,O,640,630,3.14
F,O,690,580,2.25
F,O,470,330,2.39
F,O,480,460,2.15
F,O,540,590,0.75
F,O,510,380,3.06
F,O,690,490,2.44
F,O,590,480,1.11
F,O,580,340,3.12
F,O,650,500,2.17
F,O,530,320,2
F,O,620,430,1.88
F,O,720,740,2.58
F,O,590,440,2.16
F,O,630,500,2.5
F,O,700,480,1.85
F,O,620,400,2.95
F,O,586,697,0.91
F,O,586,670,2.67
F,O,700,500,2.51
F,O,550,570,1.79
F,O,505,518,2.42
F,O,515,285,0.58
M,CS,570,570,2.76
M,CS,570,570,2.76
M,CS,580,540,3.35
M,CS,580,540,3.35
M,CS,580,540,3.35
M,CS,560,530,3.8
M,CS,560,530,3.8
M,CS,650,570,2.38
M,CS,650,570,2.38
M,CS,440,430,2.58
M,CS,440,430,2.58
M,CS,570,750,3.18
M,CS,570,750,3.18
M,CS,476,576,2.87
M,CS,476,576,2.87
M,CS,680,700,3.16
M,CS,680,700,3.16
M,CS,490,480,3.07
M,CS,490,480,3.07
M,CS,590,490,3.68
M,CS,590,490,3.68
M,CS,590,580,3.34
M,CS,590,580,3.34
M,CS,650,490,1.93
M,CS,650,490,1.93
M,CS,480,520,2.43
M,CS,480,520,2.43
M,CS,670,490,3.28
M,CS,670,490,3.28
M,CS,710,600,3.66
M,CS,710,600,3.66
M,CS,570,570,2.29
M,CS,570,570,2.29
M,CS,540,460,2.19
M,CS,540,460,2.19
M,CS,620,510,3.06
M,CS,620,510,3.06
M,CS,630,470,3.41
M,CS,630,470,3.41
M,EO,630,700,3.14
M,EO,630,700,3.14
M,EO,630,700,3.14
M,EO,630,700,3.14
M,EO,610,460,2.85
M,EO,610,460,2.85
M,EO,610,460,2.85
M,EO,720,680,3.47
M,EO,720,680,3.47
M,EO,720,680,3.47
M,EO,720,680,3.47
M,EO,640,590,3.44
M,EO,640,590,3.44
M,EO,640,590,3.44
M,EO,640,590,3.44
M,EO,650,500,3.9
M,EO,650,500,3.9
M,EO,650,500,3.9
M,EO,650,500,3.9
M,EO,640,430,3.65
M,EO,640,430,3.65
M,EO,640,430,3.65
M,EO,640,430,3.65
M,EO,740,460,1.32
M,EO,740,460,1.32
M,EO,740,460,1.32
M,EO,600,660,3.23
M,EO,600,660,3.23
M,EO,600,660,3.23
M,EO,650,430,2.86
M,EO,650,430,2.86
M,EO,650,430,2.86
M,EO,510,440,2.51
M,EO,510,440,2.51
M,EO,510,440,2.51
M,EO,550,510,2.86
M,EO,550,510,2.86
M,EO,550,510,2.86
M,EO,550,510,2.86
M,O,630,560,3.33
M,O,710,470,3.69
M,O,417,518,2.57
M,O,600,600,2.28
M,O,460,460,1.6
M,O,300,290,2
M,O,560,480,1.69
M,O,590,420,3.06
M,O,550,440,2.62
M,O,550,660,0.39
M,O,650,350,2.44
M,O,610,520,3.46
M,O,530,480,2.37
M,O,550,450,2.8
M,O,560,420,2.14
M,O,430,330,2.45
M,O,490,400,2.71
M,O,690,510,2.93
M,O,570,480,2.53
M,O,470,420,2.69
M,O,470,330,1.94
M,O,510,360,3
M,O,450,460,2.09
M,O,490,410,3.34
M,O,530,510,2.25
M,O,580,490,4
M,O,580,490,2.72
M,O,620,420,2.61
M,O,500,390,3.39
M,O,590,580,3.64
M,O,620,600,1.8
M,O,520,570,1.52
M,O,480,480,3.4
M,O,640,560,3.32
M,O,600,440,2.07
M,O,510,480,0.85
M,O,356,350,1.86
M,O,630,470,2.59
M,O,559,488,2.28
